"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","
                    カード名: 三井住友カード ゴールド（NL）
                    年会費: 5,500円（初年度無料）
                    ポイント還元率: 0.50%～7.00%
                    特徴: 対象のコンビニ・飲食店でスマホのタッチ決済を利用すると最大7％還元、さらに「家族ポイント」サービス利用で最大＋5%（最大合計12%）、年間100万円以上の利用で10,000ポイント付与、さらに翌年以降年会費永年無料、空港ラウンジが無料で利用可能、国内・海外旅行傷害保険が最高2,000万円
                    ","<ENTER_AFFILIATE_LINK>","5,500円（初年度無料）","Gold","三井住友カード ゴールド（NL）","<ENTER_ISSUER>","国内外旅行傷害保険や空港ラウンジサービス付帯のナンバーレスゴールドカードです。","0.50%～7.00%","最大5,000円相当プレゼント,4/30までのお申し込みで初年度年会費無料,さらに500円相当プレゼント","1.7412532368E12"
"","
                    カード名: アメリカン・エキスプレス(R)・ゴールド・プリファード・カード
                    年会費: 39,600円
                    ポイント還元率: 1.00%～3.00%
                    特徴: 年会費3万円台で金属製のクレジットカードを保有できる、年間利用額200万円以上で無料宿泊券を獲得可能、ハイクオリティのレストランを予約できるポケットコンシェルジュの利用で20％キャッシュバック（年間最大1万円相当）、通常参加費3,300円のメンバーシップ・リワード・プラスが無料+自動付帯、2枚まで家族カードが無料
                    ","<ENTER_AFFILIATE_LINK>","39,600円","Gold","アメリカン・エキスプレス(R)・ゴールド・プリファード・カード","<ENTER_ISSUER>","プラチナクオリティのサービスが受けられるアメックスのゴールドカードです。","1.00%～3.00%","最大33,000円相当プレゼント","1.741253236802E12"
"","
                    カード名: ビューカード ゴールド
                    年会費: 11,000円
                    ポイント還元率: 0.50%～10.00%
                    特徴: オートチャージに対応、モバイルSuicaでの定期券購入で4%還元、きっぷの購入で最大10%のJRE POINTがたまる、年間の利用額に応じてボーナスポイントがもらえる、東京駅の「ビューゴールドラウンジ」、国内主要28空港のラウンジが無料で利用可能
                    ","<ENTER_AFFILIATE_LINK>","11,000円","Gold","ビューカード ゴールド","<ENTER_ISSUER>","JR東日本グループの様々な特典や優待が受けられるカードです。","0.50%～10.00%","最大32,000円相当プレゼント","1.741253236803E12"
"","
                    カード名: JCBゴールド
                    年会費: 11,000円（初年度無料）
                    ポイント還元率: 0.50%～10.00%
                    特徴: 初年度年会費無料、2年連続で100万円以上利用すると「JCBゴールド ザ・プレミア」に招待　一定の条件を満たすことで最上位の「JCBザ・クラス」に招待される可能性も、海外旅行傷害保険は最高1億円、「JCBオリジナルシリーズパートナー」の利用でポイントが最大10倍、利用額に応じて、翌年の還元率がアップ
                    ","<ENTER_AFFILIATE_LINK>","11,000円（初年度無料）","Gold","JCBゴールド","<ENTER_ISSUER>","充実の補償サービスに加え、使えば使うほどポイントが貯まるゴールドカードです。","0.50%～10.00%","最大30,000円相当プレゼント","1.741253236804E12"
"","
                    カード名: dカード GOLD
                    年会費: 11,000円
                    ポイント還元率: 1.00%～4.50%
                    特徴: 毎月、携帯電話とドコモ光の料金で10%還元、ケータイ補償は3年間で最大10万円補償、年間利用累計額100万円達成で1万円相当の特典がもらえる、dカード特約店での利用でポイントがさらに貯まる
                    ","<ENTER_AFFILIATE_LINK>","11,000円","Gold","dカード GOLD","<ENTER_ISSUER>","最大10万円のケータイ補償付き、ドコモ利用料金でポイント還元もされるカードです。","1.00%～4.50%","最大11,000円相当プレゼント","1.741253236805E12"
"","
                    カード名: 三井住友カード ビジネスオーナーズゴールド
                    年会費: 5,500円
                    ポイント還元率: 0.50%～1.50%
                    特徴: 年間100万円以上の利用で翌年以降の年会費が無料に、従業員などの追加カードの年会費も無料、毎年100万円以上の利用で1万ポイントのボーナスポイント、貯まるポイントがVポイントでキャッシュバックに利用できるなど使い勝手が良い
                    ","<ENTER_AFFILIATE_LINK>","5,500円","Gold","三井住友カード ビジネスオーナーズゴールド","<ENTER_ISSUER>","条件クリアで年会費が永年無料になるナンバーレスのビジネスゴールドカードです。","0.50%～1.50%","最大25,000円相当プレゼント,さらに500円相当プレゼント","1.741253236806E12"
"","
                    カード名: エポスゴールドカード
                    年会費: 5,000円
                    ポイント還元率: 0.50%～1.25%
                    特徴: 年間50万円以上の利用で翌年以降の年会費が無料に、年間50万円・100万円の利用でボーナスポイントを獲得でき、最大1.5％還元に、tsumiki証券でのクレカ積立利用分もボーナスポイントのカウント、年会費無料になるゴールドカードとしては利用できる空港ラウンジが多い、家族カードはないが本会員からの紹介で家族もゴールドカードの保有が可能
                    ","<ENTER_AFFILIATE_LINK>","5,000円","Gold","エポスゴールドカード","<ENTER_ISSUER>","利用金額次第で翌年以降の年会費が無料になるゴールドカードです。","0.50%～1.25%","最大2,000円相当プレゼント","1.741253236807E12"
"","
                    カード名: アメリカン・エキスプレス(R)・ビジネス・ゴールド・カード
                    年会費: 49,500円
                    ポイント還元率: 0.50%
                    特徴: 追加カードの限度額を設定でき、従業員の使いすぎ等を制限できる、貯まったポイントをマイルやホテルのポイントに交換できる、クラブオフのVIP会員年間登録料無料
                    ","<ENTER_AFFILIATE_LINK>","49,500円","Gold","アメリカン・エキスプレス(R)・ビジネス・ゴールド・カード","<ENTER_ISSUER>","特典や付帯サービスが豊富、ステータス性の高いメタル製のビジネスカードです。","0.50%","最大45,000円相当プレゼント","1.741253236808E12"
"","
                    カード名: JALカード CLUB-Aゴールドカード
                    年会費: 17,600円
                    ポイント還元率: 1.00%～2.00%
                    特徴: ショッピングマイル・プレミアムに自動加入のため、ショッピング利用100円につき1マイル、エコノミークラス運賃などでもビジネスクラス・チェックインカウンターの利用が可能、搭乗ごとにフライトマイルは＋25％付与、ゴルフのプレー中での賠償責任や入金などが補償されるゴルファー保険が自動付帯
                    ","<ENTER_AFFILIATE_LINK>","17,600円","Gold","JALカード CLUB-Aゴールドカード","<ENTER_ISSUER>","CLUB-Aカードに提携カード会社のゴールドサービスを兼ね備えたカードです。","1.00%～2.00%","","1.741253236809E12"
"","
                    カード名: apollostation THE GOLD
                    年会費: 11,000円（初年度無料）
                    ポイント還元率: 1.00%
                    特徴: 月間のショッピング利用額に応じ、apollostationで最大10円／リットルの値引、出光スーパーロードサービスが自動付帯、バッテリー上がりなども無料対応、出光ハウスサービスで、自宅の水回りトラブルなど車以外のサービスも充実、年間200万円以上の利用で次年度の年会費が無料に、ゴールドカードとしての旅行保険充実や空港ラウンジの利用も可
                    ","<ENTER_AFFILIATE_LINK>","11,000円（初年度無料）","Gold","apollostation THE GOLD","<ENTER_ISSUER>","ガソリンの値引やロードサービスが無料自動付帯のお得なゴールドカードです。","1.00%","19,000円相当プレゼント,4/30までのお申し込みで初年度年会費無料","1.741253236811E12"
