"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","カード名: 三井住友カード（NL）
                    年会費: 無料
                    ポイント還元率: 0.5%～7.0%
                    特徴: 対象のコンビニ・飲食店でスマホのタッチ決済を利用すると最大7％還元、さらに家族ポイントの登録で、対象のコンビニ・飲食店で最大＋5％還元、Vpassアプリで利用通知設定可","","無料","Standard","三井住友カード（NL）","","対象のコンビニ・飲食店で最大7％ポイント還元、両面ナンバーレスのカードです。","0.5%～7.0%","最大5,000円相当プレゼント,さらに500円相当プレゼント","2025-06-10T21:53:33.437995"
"","カード名: 三菱UFJカード
                    年会費: 無料
                    ポイント還元率: 0.5%～7.0%
                    特徴: 年会費が永年無料、セブン‐イレブン、コカ・コーラ自販機、ピザハットオンライン、松屋での利用で7.0％ポイント還元、さらに複数の条件達成で合計最大20％ポイント還元、4つの国際ブランドから選べるため、他にカードを保有している場合は別のブランドを選びやすい、カード焼却時に塩素ガスを出さないPET-G素材を利用して環境に配慮","","無料","Standard","三菱UFJカード","","対象店舗の利用分が最大20％ポイント還元、年会費永年無料のカードです。","0.5%～7.0%","最大10,000円相当プレゼント","2025-06-10T21:53:33.438880"
"","カード名: JCB CARD W
                    年会費: 無料
                    ポイント還元率: 1.0%～10.5%
                    特徴: 39歳以下入会限定、年会費無料のJCBカード、還元率1.0%の高還元率カード、スターバックスのオンライン入金でポイント11倍（5.5%還元）、セブンイレブン、Amazonでポイント4倍（2%還元）、JCBオリジナルシリーズパートナーでポイントアップ","","無料","Standard","JCB CARD W","","年会費永年無料、安心のナンバーレスも。還元率最大10.5%のカードです。","1.0%～10.5%","最大24,000円相当プレゼント,さらに500円相当プレゼント","2025-06-10T21:53:33.439439"
"","カード名: 楽天カード
                    年会費: 無料
                    ポイント還元率: 1.0%～3.0%
                    特徴: 楽天市場の買い物はポイント最大3倍、基本還元率が高く、多くの場所で1％還元、年会費無料のアメックスブランドも申込み可、楽天ポイントは使い勝手が抜群、楽天ポイントの通常ポイント分を楽天カード利用代金に充当するとおトク","","無料","Standard","楽天カード","","年会費永年無料、楽天市場でポイントが最大3倍貯まるカードです。","1.0%～3.0%","最大5,000円相当プレゼント","2025-06-10T21:53:33.439955"
"","カード名: PayPayカード
                    年会費: 無料
                    ポイント還元率: 1.0%～5.0%
                    特徴: PayPayクレジット支払いでPayPay残高払いよりも0.5％のポイントアップ、3つの国際ブランド（Visa、Mastercard(R)、JCB）を全部保有でき、サブカードでもPayPayポイントを獲得可能、年会費無料で1％還元、PayPay証券での「クレジットつみたて」で0.7％のPayPayポイント、PayPayポイントはPayPay加盟店やPayPay証券などで利用できる","","無料","Standard","PayPayカード","","年会費無料、カード利用で「PayPayポイント」が貯まるカードです。","1.0%～5.0%","","2025-06-10T21:53:33.440444"
"","カード名: JCBカード S
                    年会費: 無料
                    ポイント還元率: 0.5%～10.0%
                    特徴: 年会費無料でクラブオフの利用が可能、年会費無料でスマートフォンの画面割れなどを補償（自己負担1万円など条件あり）、オリジナルシリーズのため、パートナー店の登録＋利用でポイント最大20倍アップ、カード番号記載の有無を選択可能","","無料","Standard","JCBカード S","","年会費永年無料、国内外20万ヵ所以上で最大80%の優待割引が利用できるカードです。","0.5%～10.0%","最大27,000円相当プレゼント","2025-06-10T21:53:33.440991"
"","カード名: JRE CARD（Suica付）
                    年会費: 524円（初年度無料）
                    ポイント還元率: 0.5%～5.0%
                    特徴: 駅ビル・エキナカのJRE CARD優待店で最大3.5％還元、オートチャージやモバイルSuicaのチャージで1.5％還元、モバイルSuicaのオートチャージに設定可能、国際ブランドをVisaの他にMastercard（R）、JCBから選べる、SuicaアプリでJR東海の「エクスプレス予約」を利用できるビュー・エクスプレス特約を使える（有料）","","524円（初年度無料）","Standard","JRE CARD（Suica付）","","JRE CARD優待店でのお買いもので最大3.5％のJRE POINTが貯まるカードです。","0.5%～5.0%","最大6,500円相当プレゼント","2025-06-10T21:53:33.441512"
"","カード名: 三井住友カード ビジネスオーナーズ
                    年会費: 無料
                    ポイント還元率: 0.5%～1.5%
                    特徴: 決算書が不要のため、スタートアップなどでも保有しやすい、年会費無料の法人カード、対象の三井住友カードの個人カード2枚持ちでETCなどの利用がポイント最大1.5%還元に、Apple PayやGoogle Pay対応でコンビニなどでの少額備品の購入もしやすい、個人・法人カードを1つのVpassアプリで管理でき、ポイントも合算可能","","無料","Standard","三井住友カード ビジネスオーナーズ","","年会費永年無料、ナンバーレスのビジネスカードです。","0.5%～1.5%","最大10,000円相当プレゼント,さらに500円相当プレゼント","2025-06-10T21:53:33.442031"
"","カード名: エポスカード
                    年会費: 無料
                    ポイント還元率: 0.5%
                    特徴: 年4回のマルコとマルオの7日間で10％OFF、エポトクプラザの割引特典が豊富、エポスポイントはローソンやファミリーマートなどのEPOS PAY加盟店で利用できる、最高3,000万円の海外旅行傷害保険が利用付帯、カード挿入方向が間違えにくい縦型券面","","無料","Standard","エポスカード","","表面ナンバーレスにリニューアル。タッチ決済機能付きで年会費無料のカードです。","0.5%","最大2,000円相当プレゼント,さらに1,000円相当プレゼント","2025-06-10T21:53:33.442545"
"","カード名: イオンカード(WAON一体型)
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: 毎月20日・30日の「お客さま感謝デー」は対象店舗で5％OFF、イオングループではいつでもポイント2倍、毎月10日は「AEON CARD Wポイントデー」でポイント2倍、最短5分でカード番号発行でApple Payなどでの利用が可能","","無料","Standard","イオンカード(WAON一体型)","","クレジットもWAON機能も付いたイオンでお得なカードです。","0.5%～1.0%","最大5,000円相当プレゼント","2025-06-10T21:53:33.443025"
